Frame ID,X,Y,Z
0,-0.020546,-0.0625168,0.0456275
1,0.102723,-0.0729279,0.0858294
2,-0.0764907,-0.0191654,-0.0693211
3,-0.0211865,0.0561229,0.0445867
4,0.112102,0.130972,0.124962
5,0.210683,-0.016249,-0.0950021
6,0.0778375,-0.0806786,0.00824804
7,0.0766648,0.0697358,0.0142387
8,-0.184456,0.0436713,0.0967392
9,-0.00985709,0.0300201,-0.0392344
10,-0.0522465,-0.188684,-0.103504
11,-0.170483,-0.123304,-0.244266
12,-0.130932,-0.0655953,-0.103174
13,0.139844,0.101815,-0.0586217
14,0.00798794,0.369401,-0.204349
15,0.291574,0.178493,-0.0699762
16,-0.109919,-0.0479844,-0.0177131
17,-0.0752268,-0.0909967,0.0451567
18,0.160827,-0.0774683,-0.139405
19,0.252159,-0.0158613,0.378521
20,-0.166167,0.0516833,-0.0658978
21,0.0631946,-0.0348744,0.241747
22,-0.0966268,0.486252,0.301727
23,0.106026,-0.158401,-0.14924
24,0.45705,0.199406,0.0723536
25,0.28782,-0.0890061,0.442422
26,0.321734,0.54431,0.344635
27,0.294005,-0.202925,0.331966
28,0.252788,0.500378,0.417028
29,0.383666,-0.0872122,0.400584
30,0.342331,-0.0219215,0.393509
31,0.369173,-0.0668216,0.511231
32,0.274421,-0.102029,0.419051
33,0.407699,-0.124038,0.518361
34,0.309888,-0.0479531,0.471023
35,0.457312,-0.0589267,0.685098
36,0.112504,-0.155598,0.554114
37,0.346435,-0.104017,0.532375
38,0.547716,0.386378,0.0721583
39,0.523651,0.393052,0.114482
40,0.00549578,0.427646,0.325899
41,0.510525,0.123671,0.444319
42,0.56537,0.118746,0.463737
43,0.474585,-0.0803832,0.192109
44,0.306861,0.0275226,0.380971
45,-0.0934652,-0.170642,0.718659
46,0.517715,0.315114,0.234423
47,0.589108,0.350562,0.148579
48,-0.256382,-0.164171,0.683826
49,0.403989,0.353444,0.0563581
50,0.349162,-0.0416929,0.697253
51,0.588798,0.0909528,0.634607
52,0.426054,-0.0591375,0.497849
53,0.333739,0.0355974,0.877174
54,0.765014,-0.155914,0.0955776
55,0.344718,0.228787,0.627185
56,0.423377,-0.0735372,0.308219
57,0.373942,0.0502354,0.608184
58,0.211276,0.157152,0.440861
59,0.322763,-0.31021,0.407501
60,0.265825,-0.0452705,0.935861
61,0.695639,0.493062,0.241353
62,0.541403,-0.230211,0.436198
63,0.425227,-0.0389314,0.615342
64,0.51601,-0.0799025,0.647039
65,0.299174,-0.228894,0.499407
66,0.410135,-0.0651827,1.01437
67,0.212095,-0.387859,0.391255
68,0.443162,-0.0680397,0.502813
69,0.457848,-0.0968151,0.698754
70,0.283404,-0.361699,0.616948
71,0.154317,-0.224823,0.420381
72,0.225676,0.032069,1.00854
73,0.444807,-0.00155072,0.695263
74,0.41318,-0.0520489,1.07418
75,0.467485,0.159632,0.575246
76,0.376386,0.217906,0.972127
77,0.338727,0.266734,1.16879
78,0.374881,0.139043,0.58508
79,0.519291,0.0250641,0.560191
80,0.58634,0.0129897,0.515053
81,0.23647,0.130319,0.777508
