Frame ID,X,Y,Z
0,-0.0353924,-0.00218618,-0.00436002
1,-0.00986153,0.0368052,0.02777
2,0.0952684,0.0288594,0.0921856
3,0.0993283,0.115693,-0.056903
4,0.18517,0.063071,0.17872
5,0.222577,0.107817,-0.069391
6,0.0901199,0.114499,-0.0224436
7,0.112261,0.0549854,0.00966955
8,0.0165203,0.114501,0.207927
9,0.143042,0.036812,0.0501532
10,-0.208513,0.0202886,0.201807
11,-0.280606,0.119574,0.118964
12,0.255638,0.00250737,-0.270246
13,0.479834,0.126448,0.181118
14,-0.0703072,0.210571,-0.244772
15,-0.0746145,0.382142,-0.165062
16,-0.245768,0.13383,0.0479648
17,0.265141,0.354175,0.158685
18,0.182623,0.301616,0.110195
19,0.327191,0.0942178,-0.2073
20,0.0884085,-0.104068,0.173052
21,0.133027,0.109092,0.260519
22,0.201735,0.344543,-0.128447
23,0.310455,0.156685,0.293547
24,0.233351,0.320452,0.262703
25,0.246767,0.17531,0.0845011
26,0.151714,0.205789,0.291191
27,0.203821,0.28197,0.215972
28,-0.153634,0.515863,0.279525
29,0.0538807,0.0879914,0.23186
30,-0.0682356,0.261045,0.287687
31,0.011132,0.385845,0.317741
32,0.324127,0.191131,0.282516
33,0.0797673,0.111067,0.256957
34,-0.104583,0.0739478,0.233201
35,-0.16202,0.201768,0.130284
36,-0.708224,0.410389,-0.178808
37,0.361171,0.223788,0.295089
38,-0.437874,0.136071,-0.00745076
39,0.155661,0.401685,0.412999
40,-0.249,0.149936,0.245949
41,0.202958,-0.0403966,0.0837888
42,0.372791,0.269386,0.386616
43,-0.111417,0.322443,0.134944
44,-0.290532,0.16705,0.042283
45,-0.36178,0.395651,0.513699
46,-0.495866,0.302808,-0.23319
47,-0.320895,0.390814,0.475915
48,0.0743328,0.339896,0.358726
49,0.154229,0.513743,0.438567
50,0.144256,0.318868,0.452334
51,0.199772,0.603695,0.185437
52,-0.041274,0.352201,0.470052
53,0.00502073,0.331305,0.829295
54,0.13519,0.369385,0.560471
55,0.115049,0.274107,0.686166
56,-0.056013,0.288742,0.703776
57,0.417404,-0.153821,-0.10506
58,0.0213788,0.300285,0.551299
59,-0.00398902,0.402088,0.60337
60,0.0909423,0.282742,0.537716
61,0.162957,0.620409,0.867544
62,0.162651,0.279079,0.873454
63,-0.0253463,0.228857,0.691824
64,0.0816558,0.743982,0.412715
65,0.131142,0.205151,0.751607
66,0.139652,0.333805,1.04791
67,-0.146416,0.221022,0.821689
68,0.0763294,0.530427,0.809432
69,0.00187698,0.563447,0.581217
70,-0.2878,0.15525,0.896464
71,-0.293754,0.424946,0.868669
72,0.0826499,0.393571,0.713056
73,0.303406,0.513138,1.01225
74,-0.1908,0.579433,1.10303
75,-0.180743,0.28198,0.880095
76,0.0930984,0.0178437,0.236489
77,0.0425525,-0.0432135,0.240009
78,-0.240891,0.0566252,0.550955
79,-0.2572,0.0345627,0.681197
80,-0.224729,0.00707782,0.805781
81,-0.109224,0.497319,1.02259
82,-0.4126,0.674326,0.984822
83,-0.134204,0.625762,0.942407
