Frame ID,X,Y,Z
0,0.0339983,0.00223928,0.0178341
1,-0.0286088,-0.0758371,-0.000893463
2,-0.0573239,-0.0890894,0.0526752
3,0.176355,0.0804846,-0.0214941
4,-0.017604,-0.0302466,0.0781273
5,-0.0156517,0.0471395,0.153454
6,0.178493,0.0987078,0.100536
7,0.00270404,0.224141,0.0541021
8,-0.0258165,-0.265673,0.214859
9,0.277134,0.000978541,0.0477238
10,-0.111616,0.161293,-0.0983628
11,0.12213,-0.174355,-0.162668
12,0.0845382,-0.119222,0.00103708
13,-0.0758669,0.1291,0.168005
14,0.057608,-0.171628,-0.0244293
15,-0.266536,0.152815,-0.198227
16,0.0830898,0.23152,-0.151817
17,-0.0773338,0.0118383,0.101823
18,0.241019,0.291487,-0.0860806
19,-0.206339,0.142337,-0.0323798
20,-0.133629,-0.00163543,-0.106367
21,0.326303,0.0259671,0.0878751
22,-0.279075,0.20166,0.207345
23,0.482,0.0864527,0.0921916
24,-0.0457971,0.0313494,-0.187277
25,-0.189763,0.276599,0.139753
26,-0.226246,0.171261,-0.274207
27,0.0263747,0.062177,-0.243721
28,-0.0921281,0.113979,-0.099471
29,0.366547,0.213336,0.0780053
30,0.0101035,0.0611598,0.0437262
31,-0.12363,0.272654,-0.164504
32,0.0524908,0.210692,0.0900647
33,-0.186396,0.0703064,-0.033462
34,0.391471,0.343295,0.177104
35,-0.341971,0.163328,0.56785
36,-0.380091,0.276131,0.497515
37,-0.482267,-0.057973,0.177877
38,-0.215852,0.245076,0.216568
39,-0.106378,-0.22334,0.143376
40,0.0481684,-0.132513,0.236541
41,0.0810069,-0.0821919,0.178092
42,-0.0510625,-0.125665,0.224829
43,0.0691654,-0.0621578,0.258326
44,-0.177684,0.365635,-0.0914079
45,-0.0885859,0.315562,-0.0457956
46,-0.123299,0.202229,-0.0186468
47,-0.117822,-0.0713362,0.201468
48,-0.186006,0.297367,0.489005
49,0.0425043,0.446591,-0.102982
50,0.0130048,-0.0397911,0.0246109
51,0.000488353,-0.0402733,0.426196
52,-0.378276,0.355294,0.348482
53,0.256139,-0.153212,0.120239
54,-0.143672,0.0250933,0.278333
55,-0.262377,0.395532,0.430501
56,-0.302428,0.397707,0.404902
57,-0.399302,0.424387,0.500269
58,-0.214595,0.00424286,0.693681
59,-0.171337,0.0672782,0.787008
60,-0.0656513,0.501965,0.329502
61,0.0198118,0.293624,0.399891
62,-0.231682,0.3572,0.154325
63,0.0533126,-0.359801,0.283154
64,-0.440117,0.139916,0.547872
65,-0.474554,0.280279,0.572104
66,0.0480977,-0.0629315,0.173905
67,-0.419044,0.269345,0.58263
68,-0.32928,-0.0419013,0.780379
69,-0.597041,0.228695,0.709972
70,-0.394548,0.137482,0.739152
71,0.0662886,-0.0733614,0.0833853
72,-0.54618,0.147965,0.358239
73,-0.0568124,-0.0840877,0.844978
74,-0.213863,0.0676806,0.677052
75,-0.236891,0.0959258,0.69038
76,0.177718,-0.306462,0.224748
77,-0.455321,0.0362895,0.555061
78,-0.381775,-0.0476314,0.670582
79,-0.040977,0.032211,0.933922
80,-0.235303,0.123227,1.0035
81,-0.588521,0.337745,0.290936
82,0.187802,-0.0399351,0.178263
83,-0.0901435,0.123684,0.939901
84,-0.0767911,-0.176688,1.07872
85,0.016663,-0.10785,0.0546742
86,-0.186109,-0.100195,1.36734
87,-0.419313,-0.0417129,0.571499
88,-0.457312,0.119266,0.595579
89,-0.372654,-0.069123,0.745565
90,-0.19894,-0.2572,1.00023
91,0.101444,0.024467,0.898404
92,-0.104006,0.183243,1.02983
93,-0.245826,-0.0319857,1.06307
94,0.0353024,-0.135125,0.835167
95,-0.117391,-0.238646,1.57807
96,-0.530822,-0.0832796,0.747441
97,0.029219,0.0504824,1.10629
98,-0.438747,0.0184032,0.781722
99,0.141335,0.0118573,1.44278
100,-0.0298516,-0.101658,1.31339
101,-0.482211,-0.14645,0.815039
102,-0.107358,-0.159164,1.17054
103,-0.388085,-0.0135034,1.11334
104,-0.00799321,0.00158239,0.985227
105,-0.174566,-0.148013,1.14929
106,-0.211631,-0.217672,1.38305
107,-0.257667,-0.011975,1.11218
108,-0.423523,0.361562,0.390869
109,-0.174368,-0.252058,1.37706
110,-0.210368,0.172655,1.09487
111,-0.398984,-0.216516,0.934637
112,-0.184456,-0.0351099,0.945904
113,-0.371863,-0.302468,1.2884
114,-0.167336,-0.0149759,0.889382
115,-0.499596,0.131044,0.946903
116,-0.194815,-0.0270422,1.12973
117,-0.0696526,0.0148584,0.602641
118,-0.405091,-0.309128,1.5675
119,-0.0397106,0.0891545,0.668011
120,0.009284,0.014545,1.06504
121,-0.120727,0.25177,0.823745
122,-0.41322,0.278931,0.92084
123,-0.215138,0.245641,0.86703
124,-0.0674129,0.158249,1.2272
125,-0.0836149,0.384259,-0.000485979
126,-0.107062,0.342885,0.0487183
127,-0.138909,-0.188233,1.68642
128,0.0167496,-0.0571291,0.91486
129,-0.366318,0.179247,0.807636
130,-0.413169,-0.190005,1.58899
131,-0.0838845,-0.122353,1.67684
132,-0.279284,-0.27101,1.76667
133,-0.097342,-0.0940572,1.733
134,-0.138659,-0.0527458,1.26948
135,-0.38771,0.154537,0.820974
136,-0.360425,-0.233111,1.66423
137,-0.0543018,0.144286,0.881881
138,-0.408399,-0.0615435,1.83066
139,-0.34379,-0.0401988,1.81137
140,-0.284948,-0.358585,1.58725
141,-0.291464,-0.100247,1.7306
142,-0.209758,-0.296436,1.76733
143,-0.268538,-0.122697,1.68224
144,-0.322657,-0.0467481,1.42385
145,-0.308234,0.0135366,1.28817
146,-0.304244,-0.0757315,1.96012
147,-0.2223,-0.0947572,1.85722
148,-0.391592,0.0831771,1.27901
149,-0.264789,-0.210318,0.924357
150,-0.190165,-0.138114,1.85702
151,-0.274923,-0.146174,1.91012
152,-0.502485,-0.368247,1.7103
153,-0.518574,-0.279204,1.72813
154,-0.307714,-0.492201,1.824
155,-0.242137,-0.105549,1.81182
156,-0.474756,-0.346461,1.57581
157,-0.342354,-0.319202,1.79636
158,-0.270229,-0.0767581,2.01288
159,-0.146106,0.105306,1.69598
160,0.164394,0.110355,2.1891
161,-0.213798,-0.24491,1.79426
162,0.31897,0.224963,1.94406
163,-0.309494,0.0507908,1.9214
164,0.215282,-0.0899951,2.15084
165,0.266464,0.158346,2.2344
166,0.340536,0.149344,2.04382
167,-0.422168,-0.4513,1.88155
168,0.393214,0.158503,2.2102
169,-0.617201,-0.388311,1.65525
170,0.302809,0.254619,2.4024
171,0.33805,0.101608,1.97428
172,-0.618918,-0.158276,1.57097
173,-0.606617,-0.175971,1.53324
