Frame ID,X,Y,Z
0,-0.00491802,0.0165016,-0.00461551
1,-0.0290883,0.0480558,0.0631647
2,0.0565291,-0.0377884,0.0142206
3,0.0593687,0.0607804,-0.0507056
4,-0.100472,-0.0765252,0.00742818
5,-0.100065,-0.0249809,0.0122859
6,-0.167839,-0.0524798,-0.0591146
7,0.0349944,-0.0918059,-0.0262991
8,0.0739151,0.076656,0.0562585
9,-0.0731004,-0.0560243,0.197883
10,0.0500725,0.0361618,0.260974
11,-0.0506014,0.00138826,0.220292
12,0.00727855,-0.126339,-0.131749
13,0.290971,-0.330825,-0.150296
14,-0.0209117,-0.17313,-0.170626
15,-0.197186,-0.218005,-0.0904374
16,0.0498415,0.0656298,0.368711
17,-0.103866,-0.149283,0.598173
18,-0.172313,-0.169769,0.241741
19,-0.104529,-0.145478,0.0489831
20,0.141012,-0.0664783,-0.0700217
21,0.161121,-0.0345993,0.245252
22,0.344682,-0.239651,0.297214
23,-0.201586,-0.123123,0.474335
24,-0.202255,-0.131736,0.612582
25,-0.379826,-0.0120796,0.317087
26,-0.281946,-0.138556,0.73196
27,-0.277731,-0.209837,0.396017
28,0.402889,-0.237987,0.141373
29,-0.182055,-0.12938,0.237639
30,0.393584,-0.25663,0.212209
31,-0.328543,0.0884907,0.593809
32,0.388311,-0.299843,0.264021
33,0.0369192,-0.276424,0.302411
34,-0.435869,0.0357542,0.58532
35,0.257858,-0.196782,0.400336
36,-0.412158,0.0861452,0.775751
37,-0.0205079,-0.235684,0.260692
38,0.238349,-0.0512855,-0.148979
39,-0.392057,-0.0711206,0.767545
40,0.0192784,-0.27762,0.260191
41,0.0274082,-0.263101,0.141273
42,0.00543081,-0.264903,0.0835954
43,0.246099,0.0929098,-0.101667
44,0.157165,0.0679543,-0.145196
45,0.111018,-0.217605,-0.421129
46,-0.279449,-0.127408,0.864411
47,-0.131337,-0.151824,0.269752
48,-0.249359,-0.143454,0.891693
49,0.280772,0.121032,-0.331143
50,-0.0804672,-0.417952,0.420731
51,-0.0969064,0.160681,0.435845
52,0.308192,-0.455091,0.293493
