Frame ID,X,Y,Z
0,-0.0440772,0.0260716,-0.0289836
1,0.0228534,0.0972871,0.0467699
2,-0.054808,0.0343929,-0.0415295
3,-0.0331941,0.0863949,0.0383136
4,0.0627284,0.0323143,0.106498
5,0.0800916,-0.053635,-0.108052
6,-0.260867,0.199971,0.00654604
7,-0.0966952,0.196533,-0.00250342
8,-0.160377,0.0383405,0.0354
9,-0.0814158,0.170434,-0.0690116
10,-0.0179775,0.0328102,0.110379
11,-0.11654,-0.108372,0.118901
12,-0.041448,0.141356,0.0242793
13,-0.0442604,-0.165123,0.184148
14,0.0729633,0.106524,-0.0613721
15,0.130173,0.171343,0.0411541
16,0.0800847,-0.0759215,0.00918931
17,-0.152621,0.2744,0.00348717
18,0.0927548,0.0893082,0.00731225
19,-0.0387726,-0.13045,-0.336178
20,0.252359,-0.0268685,-0.245195
21,-0.225074,0.305125,-0.136207
22,-0.26938,0.149617,-0.0645064
23,-0.197173,-0.0783698,0.267286
24,0.0363219,0.0432297,-0.118004
25,-0.203537,-0.160638,0.313826
26,-0.300612,0.273483,-0.0471159
27,-0.281573,0.253725,0.0443611
28,-0.0545468,-0.329506,0.241182
29,0.29228,-0.023475,-0.405674
30,-0.111582,0.18664,0.199044
31,0.137674,0.0197115,-0.360653
32,0.0639322,0.251012,-0.246295
33,0.0543406,0.165413,-0.0525404
34,0.253991,0.0824818,0.01308
35,0.216213,0.0182171,-0.724718
36,-0.0113607,0.0199242,-0.200179
37,-0.018967,-0.0535942,-0.156006
38,0.249932,-0.059377,-0.600493
39,-0.171724,-0.210308,0.37055
40,-0.0654604,0.101587,-0.179316
41,-0.24541,-0.372196,0.262689
42,-0.272301,0.371026,-0.0742403
43,0.261826,-0.0491691,-0.605015
44,-0.286216,-0.185764,0.47059
45,-0.0395706,-0.191983,0.360501
46,0.261012,-0.158417,-0.846199
47,-0.181451,0.193872,-0.263763
48,0.146929,0.0924873,0.266658
49,0.429659,0.0784748,0.234539
50,-0.0428758,-0.25814,-0.0252608
51,-0.186337,-0.0714417,-0.282187
52,0.300267,0.231345,0.22536
53,0.41533,0.299589,0.120681
54,-0.199329,-0.093492,-0.866027
55,0.531606,0.113751,0.00947275
56,-0.330908,-0.200595,0.362849
57,-0.124453,0.00696094,-0.22435
58,0.0979119,0.0158857,-0.0365021
59,-0.110714,-0.0129034,-0.887161
60,-0.133483,0.0747681,-0.845399
61,-0.119844,-0.061433,-0.0657066
62,-0.162074,0.130339,-0.90333
63,0.103816,0.103236,0.126075
64,-0.228811,-0.438665,-0.44937
65,-0.114557,-0.267017,-0.258252
66,0.0365113,-0.0565415,-0.658111
67,0.043616,0.127479,-0.196748
68,0.0668857,0.0211343,-0.0102664
69,-0.11257,-0.0221819,-0.896842
70,0.00342959,0.242709,-0.341446
71,0.0239327,0.373527,-0.144159
72,-0.247263,-0.323838,-0.246461
73,0.301645,-0.187719,-0.943374
74,-0.184569,-0.174021,-0.0610757
75,-0.0351863,0.105978,-0.101985
76,-0.0818992,0.357069,-0.376691
77,0.0105473,-0.164258,-0.0436693
78,0.0378728,-0.375015,-0.212652
79,-0.0674129,0.0328617,-0.210112
80,-0.43455,-0.0810473,0.14492
81,0.436033,0.140846,-1.11649
82,0.161973,-0.128924,-0.758557
83,-0.199528,0.161572,-0.274679
84,0.143575,-0.2515,-1.16746
85,-0.419021,-0.165506,0.136175
86,-0.389917,-0.0733634,0.144018
87,0.405827,-0.121945,-1.04527
88,-0.136174,-0.0944984,-0.0275091
89,0.0293434,-0.0409722,-0.015786
90,-0.0663324,-0.154128,-0.0547279
91,0.0520644,-0.228987,-0.99529
92,0.146194,-0.58655,-0.283327
93,0.39275,-0.0821511,-0.888514
94,0.166103,-0.233535,-0.93505
95,0.0262447,-0.248941,-1.21461
96,-0.177046,0.25052,0.0323915
97,0.00198539,-0.086177,-0.854212
98,-0.0490405,-0.00381245,-0.0577811
99,-0.0464063,-0.187948,-0.681194
100,0.197744,-0.157633,-1.25959
101,-0.214789,0.351101,-0.179613
102,-0.0845123,-0.0868768,-0.737328
103,-0.0594222,0.354549,-0.100303
104,0.413435,-0.463272,-1.17918
105,-0.0909501,0.404644,-0.185362
106,0.149546,-0.361992,-1.07451
107,-0.216661,0.0609496,-0.248314
108,-0.170326,0.274612,-0.418358
109,0.309393,0.171258,-0.333468
110,-0.328544,0.593332,-0.292662
111,-0.190266,0.104156,-0.0911136
112,-0.00603412,0.381112,-0.216361
113,0.542284,-0.378592,-1.07587
114,-0.211023,0.116067,-0.729078
