Frame ID,X,Y,Z
0,-0.0172076,-0.0187271,-0.0549903
1,-0.0711073,0.0451768,-0.0477516
2,0.179549,-0.0160507,-0.0540906
3,-0.13304,-0.082406,-0.0266934
4,0.10975,-0.105269,0.0559417
5,0.00509453,-0.0207488,0.0193205
6,-0.0699076,-0.0166699,0.0846926
7,-0.0663177,-0.111356,-0.00690109
8,0.0310333,0.122724,-0.0596915
9,-0.0809671,0.205325,0.0322403
10,-0.159708,0.108024,-0.0152332
11,-0.0787294,0.114273,0.10262
12,-0.00609358,0.159931,0.0409301
13,0.0135478,0.141387,-0.0315534
14,0.245751,-0.0240481,-0.00902082
15,0.0163457,-0.0104818,0.014135
16,0.0204513,0.0669559,0.139518
17,-0.140778,0.234327,-0.032676
18,-0.206733,0.157775,-0.150047
19,0.061505,0.141562,-0.251665
20,-0.289982,0.329786,0.0175152
21,-0.286806,0.246048,0.123955
22,-0.173495,0.213031,-0.00551629
23,-0.18643,0.212181,-0.0282433
24,-0.229364,0.285131,-0.0798492
25,0.172926,-0.065036,-0.0273011
26,-0.17652,0.194329,0.0318346
27,-0.043085,0.221974,0.216621
28,0.0915301,-0.0158621,0.124265
29,-0.0157661,0.218983,-0.194848
30,-0.242664,0.178108,-0.0676908
31,-0.324243,0.272015,-0.0273943
32,-0.260111,0.212025,-0.04227
33,-0.0953678,0.0839983,-0.173467
34,-0.593481,0.205247,0.0607574
35,-0.478152,0.164864,-0.154717
36,-0.0376912,0.270749,0.102655
37,-0.486734,0.337755,-0.161172
38,-0.0821385,0.202015,0.115546
39,0.222253,0.485222,0.0286723
40,-0.0953741,0.461281,-0.177253
41,-0.115892,0.0855096,-0.11689
42,-0.0744438,0.183783,-0.056556
43,0.122891,0.434611,0.188777
44,-0.00350449,0.225628,-0.0980456
45,-0.236658,0.513054,-0.263038
46,-0.771139,0.341265,-0.146026
47,0.0169656,0.0862746,-0.203568
48,-0.0100342,0.458392,-0.0874829
49,-0.610459,0.284479,0.062895
50,0.111245,0.051505,-0.191434
51,-0.202538,0.661956,-0.27706
52,-0.175256,0.174493,-0.0103108
53,-0.609088,0.222696,-0.0425013
54,-0.0626165,-0.0753659,-0.145012
55,-0.0876843,-0.188487,-0.298086
56,-0.307626,0.429913,-0.124526
57,-0.0733193,0.153641,-0.05283
58,0.225467,0.377597,0.028159
59,-0.183019,0.220596,-0.0448719
60,-0.201629,0.0371127,-0.440156
61,0.255672,0.116838,-0.347647
62,0.233391,0.126938,-0.116747
63,0.262287,0.404381,0.106707
64,0.121258,0.272412,0.125274
65,-0.2063,0.394871,0.0117519
66,-0.11661,0.391728,-0.296639
67,0.200429,0.264235,0.106246
68,0.230802,0.526382,-0.376009
69,0.381123,0.0763064,-0.106213
70,0.197535,0.397311,-0.359451
71,-0.817545,-0.0130438,0.241944
72,0.389273,0.171832,-0.10284
73,0.462076,0.281354,-0.0424713
74,-0.10329,0.393887,-0.100504
75,0.177563,0.385054,-0.234476
76,0.196248,0.526468,-0.343659
77,0.383907,0.202035,-0.0832442
78,-0.125401,0.407155,-0.231845
79,0.46532,0.214757,-0.0507367
80,0.26421,0.367808,-0.254278
81,0.136252,0.456483,-0.392824
82,-0.432744,0.264548,-0.217658
83,0.760665,0.320965,0.0151779
84,0.426131,0.200791,-0.0224572
